-----------------Experiment3 Start-----------------
############# 3 functions #############
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.1 iter:0]
serial_time:17.4403 cuda_time:1.55196
[scale:1.1 iter:1]
serial_time:11.1889 cuda_time:1.48555
[scale:1.1 iter:2]
serial_time:9.99723 cuda_time:1.75001
[scale:1.1 iter:3]
serial_time:9.46739 cuda_time:1.49104
[scale:1.1 iter:4]
serial_time:9.60883 cuda_time:1.83976
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.2 iter:0]
serial_time:5.73209 cuda_time:1.25318
[scale:1.2 iter:1]
serial_time:5.84529 cuda_time:1.25994
[scale:1.2 iter:2]
serial_time:5.67003 cuda_time:1.24246
[scale:1.2 iter:3]
serial_time:5.62925 cuda_time:1.26045
[scale:1.2 iter:4]
serial_time:5.80215 cuda_time:1.24468
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.3 iter:0]
serial_time:4.77345 cuda_time:1.06246
[scale:1.3 iter:1]
serial_time:4.7363 cuda_time:1.02916
[scale:1.3 iter:2]
serial_time:5.18951 cuda_time:1.04406
[scale:1.3 iter:3]
serial_time:4.73781 cuda_time:1.04218
[scale:1.3 iter:4]
serial_time:4.7162 cuda_time:1.03784
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.4 iter:0]
serial_time:4.19424 cuda_time:0.837945
[scale:1.4 iter:1]
serial_time:4.23582 cuda_time:0.835606
[scale:1.4 iter:2]
serial_time:4.23579 cuda_time:0.845589
[scale:1.4 iter:3]
serial_time:4.24295 cuda_time:0.837575
[scale:1.4 iter:4]
serial_time:4.26674 cuda_time:0.839294
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.5 iter:0]
serial_time:3.94693 cuda_time:0.710468
[scale:1.5 iter:1]
serial_time:4.20227 cuda_time:1.01769
[scale:1.5 iter:2]
serial_time:3.94056 cuda_time:0.683672
[scale:1.5 iter:3]
serial_time:3.91237 cuda_time:0.674408
[scale:1.5 iter:4]
serial_time:3.92615 cuda_time:0.686201
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.6 iter:0]
serial_time:3.80497 cuda_time:0.53865
[scale:1.6 iter:1]
serial_time:3.77965 cuda_time:0.537634
[scale:1.6 iter:2]
serial_time:3.82687 cuda_time:0.537629
[scale:1.6 iter:3]
serial_time:3.79716 cuda_time:0.530462
[scale:1.6 iter:4]
serial_time:3.75338 cuda_time:0.545902
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.7 iter:0]
serial_time:3.68563 cuda_time:0.477626
[scale:1.7 iter:1]
serial_time:3.54417 cuda_time:0.428196
[scale:1.7 iter:2]
serial_time:3.53608 cuda_time:0.426622
[scale:1.7 iter:3]
serial_time:3.56749 cuda_time:0.431859
[scale:1.7 iter:4]
serial_time:3.59273 cuda_time:0.596257
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.8 iter:0]
serial_time:3.57805 cuda_time:0.372225
[scale:1.8 iter:1]
serial_time:3.42395 cuda_time:0.386903
[scale:1.8 iter:2]
serial_time:3.42301 cuda_time:0.362349
[scale:1.8 iter:3]
serial_time:3.5462 cuda_time:0.378229
